Category,Chief Arbiter,Chief Organizer,City,Country,Crosstable,Date received,Date registered,Deputy Chief Arbiter,End Date,Event code,Hybrid,Number of players,Organizer,PGN file,Start Date,System,Time Control,Tournament Name,Type,Zone,arbiter1_code,arbiter1_name,arbiter2_code,arbiter2_name,arbiter3_code,arbiter3_name,arbiter4_code,arbiter4_name,arbiter5_code,arbiter5_name,arbiter6_code,arbiter6_name,arbiter7_code,arbiter7_name,arbiter8_code,arbiter8_name,arbiter9_code,arbiter9_name,rating_type
0,"Ber, Alexandre (CAN)","Ber, Alexandre (CAN)",Laval,CAN,Size: 2588 bytes,2023-04-28,2022-10-02,,2023-04-04,304201,NO,20,,,2023-03-07,s,Standard: 90 minutes with 30 second increment from move 1,2022-2023 Laval GP4,,,,,,,,,,,,,,,,,,,,,Standard
0,"Ouimet, Bernard (CAN)","Ouimet, Bernard (CAN)",Montreal,CAN,Size: 2506 bytes,2023-04-28,2022-11-18,,2023-04-02,309366,NO,10,,,2023-03-31,o,Standard: 90 minutes with 30 second increment from move 1,CHOC DES GENERATION 2023,,,,,,,,,,,,,,,,,,,,,Standard
0,"El Habboub, Abdul Rahman (LBN)","Oancea, Nicolae (CAN)",Toronto,CAN,Size: 2454 bytes,2023-04-16,2023-01-18,,2023-03-05,316222,NO,100,,,2023-03-05,s,Rapid: 15 minutes for game with 10 seconds increment from move 1,2023 Excelsior March 50 Plus Championship,,,,,,,,,,,,,,,,,,,,,Rapid
0,"Raymer, Elliot (CAN)","Leblanc, Paul (CAN)",Victoria,CAN,Size: 6559 bytes,2023-04-16,2023-01-19,,2023-04-10,316414,NO,40,,,2023-04-07,s,Standard: 90 minutes with 30 second increment from move 1,2023 Grand Pacific Open Premier,,,,,,,,,,,,,,,,,,,,,Standard
0,"Denning, Keith (CAN)","Supol, George (CAN)",Toronto,CAN,Size: 3966 bytes,2023-04-05,2023-01-30,,2023-03-13,317597,NO,15,,,2023-01-30,s,Standard: 90 minutes with 30 second increment from move 1,2023 Annex Chess Club Championship Crown,,,,,,,,,,,,,,,,,,,,,Standard
0,"Bond, Hal (CAN)","Oancea, Nicolae (CAN)",Toronto,CAN,Size: 5733 bytes,2023-04-16,2023-02-08,,2023-04-11,318820,NO,60,,,2023-04-06,s,Standard: 90 minutes with 30 second increment from move 1,2023 Canadian Closed Championship,,,,,,,,,,,,,,,,,,,,,Standard
0,"Bond, Hal (CAN)","Oancea, Nicolae (CAN)",Toronto,CAN,Size: 4778 bytes,2023-04-16,2023-02-08,,2023-04-11,318821,NO,40,,,2023-04-06,s,Standard: 90 minutes with 30 second increment from move 1,2023 Canadian Women Closed Championship,,,,,,,,,,,,,,,,,,,,,Standard
0,"Munir, Zeeshan (CAN)","Munir, Zeeshan (CAN)",Calgary,CAN,Size: 4882 bytes,2023-04-27,2023-03-02,,2023-04-18,321349,NO,20,,,2023-03-21,s,Standard: 90 minutes with 30 second increment from move 1,2023 Calgary CC Grand Prix Leg 3 Open,,,,,,,,,,,,,,,,,,,,,Standard
0,"Munir, Zeeshan (CAN)","Munir, Zeeshan (CAN)",Calgary,CAN,Size: 2743 bytes,2023-04-27,2023-03-02,,2023-04-18,321350,NO,30,,,2023-03-21,s,Standard: 90 minutes with 30 second increment from move 1,2023 Calgary CC Grand Prix Leg 3 FM,,,,,,,,,,,,,,,,,,,,,Standard
0,"Zeggelaar, Mike (CAN)","Mikusek, Jerry (CAN)",Lethbridge,CAN,Size: 2881 bytes,2023-04-16,2023-03-15,,2023-04-02,322790,NO,30,,,2023-04-01,s,Standard: 90 minutes with 30 second increment from move 1,Lethbridge Open,,,,,,,,,,,,,,,,,,,,,Standard
