Arbiter,Category,Chief Arbiter,Chief Organizer,City,Country,Crosstable,Date received,Date registered,Deputy Chief Arbiter,End Date,Event code,Hybrid,Number of players,Organizer,PGN file,Start Date,System,Time Control,Tournament Name,Type,Zone,arbiter1_code,arbiter1_name,arbiter2_code,arbiter2_name,arbiter3_code,arbiter3_name,arbiter4_code,arbiter4_name,arbiter5_code,arbiter5_name,arbiter6_code,arbiter6_name,arbiter7_code,arbiter7_name,arbiter8_code,arbiter8_name,arbiter9_code,arbiter9_name,rating_type
,0,"Palsson, Halldor Peter (CAN)","Palsson, Halldor Peter (CAN)",Ottawa,CAN,Size: 4188 bytes,2023-06-30,2022-09-19,"Langer, Herb (CAN)",2023-06-18,302197,NO,40,,,2023-06-16,s,Standard: 90 minutes with 30 second increment from move 1,2023 RA Eastern Ontario Open,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Ber, Alexandre (CAN)","Ber, Alexandre (CAN)",Laval,CAN,Size: 3157 bytes,2023-06-30,2022-10-02,,2023-05-16,304203,NO,20,,,2023-04-18,s,Standard: 90 minutes with 30 second increment from move 1,2022-2023 Laval GP5,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Ber, Alexandre (CAN)","Ber, Alexandre (CAN)",Laval,CAN,Size: 8564 bytes,2023-06-29,2022-10-02,,2023-06-25,304204,NO,20,,,2023-06-23,s,Standard: 90 minutes with 30 second increment from move 1,2023 Laval Open Championship,,,,,,,,,,,,,,,,,,,,,Standard
"Denning, Keith (CAN)   Ferreira, Alex (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Toronto,CAN,Size: 10743 bytes,2023-06-20,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-03,324385,NO,60,"Supol, George (CAN)",,2023-06-03,s,Blitz: 3 minutes for game with 2 seconds increment from move 1,2023 Canadian Transnational Blitz Crown,,,,,,,,,,,,,,,,,,,,,Blitz
"Denning, Keith (CAN)   Ferreira, Alex (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Toronto,CAN,Size: 13774 bytes,2023-06-20,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-03,324389,NO,200,"Supol, George (CAN)",,2023-06-03,s,Blitz: 3 minutes for game with 2 seconds increment from move 1,2023 Canadian Transnational Blitz General,,,,,,,,,,,,,,,,,,,,,Blitz
"Denning, Keith (CAN)   Ferreira, Alex (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Toronto,CAN,Size: 8176 bytes,2023-06-20,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-04,324391,NO,60,"Supol, George (CAN)",,2023-06-03,s,Rapid: 15 minutes for game with 5 seconds increment from move 1,2023 Canadian Transnational Rapid Crown,,,,,,,,,,,,,,,,,,,,,Rapid
"Denning, Keith (CAN)   Ferreira, Alex (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Toronto,CAN,Size: 11832 bytes,2023-06-20,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-04,324392,NO,200,"Supol, George (CAN)",,2023-06-03,s,Rapid: 15 minutes for game with 5 seconds increment from move 1,2023 Canadian Transnational Rapid General,,,,,,,,,,,,,,,,,,,,,Rapid
"Denning, Keith (CAN)   Ber, Alexandre (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Montreal,CAN,Size: 11078 bytes,2023-06-29,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-11,324393,NO,60,"Lesperance, Charles (CAN)",,2023-06-06,s,Standard: 90 minutes with 30 second increment from move 1,2023 Canadian Transnational Classic Crown,,,,,,,,,,,,,,,,,,,,,Standard
"Denning, Keith (CAN)   Ber, Alexandre (CAN)",0,"Marghetis, Aris (CAN)","Belcadi, Salim (CAN)",Montreal,CAN,Size: 6284 bytes,2023-06-29,2023-03-30,"Shah, Omaray M. (CAN)",2023-06-11,324394,NO,200,"Lesperance, Charles (CAN)",,2023-06-06,s,Standard: 90 minutes with 30 second increment from move 1,2023 Canadian Transnational Classic General,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Denning, Keith (CAN)","Supol, George (CAN)",Toronto,CAN,Size: 2735 bytes,2023-06-30,2023-04-14,,2023-06-26,325996,NO,10,,,2023-04-17,r,Standard: 90 minutes with 30 second increment from move 1,2023 Toronto Closed,,,,,,,,,,,,,,,,,,,,,Standard
